county,year,violent crime,violent crime rate per 1000 persons,property crime,property crime rate per 1000 persons,unemployment rate,high school graduate rate,per capita personal income,population,population per 1000,land area,population density,percent of population below poverty level,full-time law enforcement employees,full-time law enforcement employees rate,income inequality,% Males 15-24 years,% Males 25-39 years
Napa County,2017,597,4.21063,2225,15.692885,0.04,0.88,69528,"141,784",142,748.36,189.46,8.2,133,0.94,14.72,6.672103826,9.380518421
Nevada County,2012,243,2.47631,1843,18.7812086,0.10,0.49,49212,"98,130",98,957.77,102.46,11.6,163,1.66,12.39,5.909355366,7.548084165
Nevada County,2013,433,4.42863,1788,18.2872572,0.08,0.49,50100,"97,773",98,957.77,102.08,12,160,1.64,12.48,5.856817144,7.594008669
Nevada County,2014,308,3.14793,1591,16.2609104,0.07,0.46,52655,"97,842",98,957.77,102.16,12.4,153,1.56,12,5.69273675,7.573814981
Nevada County,2015,289,2.94246,1715,17.4613356,0.05,0.47,54459,"98,217",98,957.77,102.55,12.7,155,1.58,12.37,5.628641575,7.60360353
Nevada County,2016,212,2.15185,1806,18.3313033,0.05,0.50,56904,"98,520",99,957.77,102.86,12.1,155,1.57,12.58,5.643773761,7.475524894
Nevada County,2017,280,2.83938,1765,17.8982487,0.04,0.52,57573,"98,613",99,957.77,102.96,12.1,156,1.58,14.12,5.190311419,7.74297335
Orange County,2012,6789,2.21243,67821,22.1018259,0.08,0.86,54885,"3,068,570","3,069",790.57,3881.47,11.7,"3,644",1.19,14.16,7.520560453,10.63763485
Orange County,2013,6042,1.94768,61650,19.8733009,0.07,0.88,54285,"3,102,152","3,102",790.57,3923.94,12.4,"3,663",1.18,14.49,7.42031758,10.48738218
Orange County,2014,6257,2.00101,54754,17.5105327,0.06,0.89,56457,"3,126,918","3,127",790.57,3955.27,12.8,"3,601",1.15,14.86,7.36264448,10.4262952
Orange County,2015,7220,2.29038,68237,21.646638,0.05,0.90,60369,"3,152,314","3,152",790.57,3987.39,12.8,"3,602",1.14,15.3,7.31244398,10.37576511
Orange County,2016,7275,2.29335,66054,20.8226284,0.04,0.91,62319,"3,172,222","3,172",790.57,4012.58,12.5,"3,622",1.14,15.44,7.160105593,10.3698081
Orange County,2017,7627,2.38421,65638,20.5184922,0.04,0.89,64601,"3,198,968","3,199",790.57,4046.41,12.1,"3,755",1.17,15.59,7.025029343,10.47028724
Placer County,2012,680,1.89747,6875,19.18403,0.10,0.89,52610,"358,371",358,"1,407.01",254.7,8.4,423,1.18,11.86,6.349454687,8.596184807
Placer County,2013,660,1.82167,7209,19.8976001,0.08,0.91,53482,"362,305",362,"1,407.01",257.5,8.7,459,1.27,12.14,6.344660658,8.638499511
Placer County,2014,596,1.6235,6643,18.0954923,0.06,0.91,55983,"367,108",367,"1,407.01",260.91,8.9,465,1.27,12.78,6.346488972,8.689807976
Placer County,2015,675,1.82242,7227,19.5120239,0.05,0.90,59430,"370,387",370,"1,407.01",263.24,8.9,471,1.27,13.1,6.294649175,8.685639948
Placer County,2016,622,1.65594,7080,18.848937,0.04,0.92,61525,"375,618",376,"1,407.01",266.96,8.7,513,1.37,13.68,6.195932763,8.586489499
Placer County,2017,703,1.83468,6969,18.1876072,0.04,0.89,63609,"383,173",383,"1,407.01",272.33,8.2,538,1.4,14.09,6.130911903,8.732882649
Plumas County,2012,108,5.40784,437,21.8817285,0.16,0.83,39709,"19,971",20,"2,553.04",7.82,13.9,54,2.7,13.51,5.235491318,6.997435511
Plumas County,2013,92,4.61847,390,19.5783133,0.14,0.88,41441,"19,920",20,"2,553.04",7.8,15.2,58,2.91,16,5.259113653,6.66154396
Plumas County,2014,91,4.57447,312,15.6839089,0.12,0.85,44040,"19,893",20,"2,553.04",7.79,15.9,61,3.07,15.15,5.310432438,7.282878772
Plumas County,2015,82,4.1289,298,15.0050352,0.10,0.88,45609,"19,860",20,"2,553.04",7.78,14.5,60,3.02,17.12,5.217884636,7.649520194
Plumas County,2016,120,6.04625,359,18.0883761,0.10,0.83,46303,"19,847",20,"2,553.04",7.77,12.8,65,3.28,13.68,4.80420177,7.484440653
Plumas County,2017,146,7.36704,304,15.3395903,0.09,0.84,47566,"19,818",20,"2,553.04",7.76,13.3,66,3.33,14.13,4.683828242,7.808160649
Riverside County,2012,6989,3.11986,68176,30.4334589,0.12,0.83,32774,"2,240,166","2,240","7,206.48",310.85,15.6,"3,706",1.65,12.63,8.016470906,9.759181972
Riverside County,2013,6203,2.73768,65134,28.7467191,0.10,0.84,33450,"2,265,789","2,266","7,206.48",314.41,16.2,"3,897",1.72,12.81,8.016962363,9.809575065
Riverside County,2014,6260,2.73212,61434,26.8122982,0.08,0.85,34670,"2,291,262","2,291","7,206.48",317.94,16.9,"4,020",1.75,13.14,7.911244215,9.901494332
Riverside County,2015,7020,3.02861,65616,28.3084437,0.07,0.87,36418,"2,317,895","2,318","7,206.48",321.64,16.8,"4,088",1.76,13.32,7.861916892,9.951793535
Riverside County,2016,7447,3.17337,65333,27.8401699,0.06,0.89,37693,"2,346,717","2,347","7,206.48",325.64,16.5,"3,939",1.68,13.54,7.711181501,9.999661172
Riverside County,2017,7308,3.06719,61826,25.9485277,0.05,0.88,38605,"2,382,640","2,383","7,206.48",330.62,15.6,"3,643",1.53,14,7.579611397,10.1083566
Sacramento County,2012,8017,5.56483,48501,33.6659133,0.11,0.77,41014,"1,440,656","1,441",964.64,1493.46,16.5,"1,868",1.3,12.97,7.348264982,10.63049001
Sacramento County,2013,7515,5.17395,44326,30.5177119,0.09,0.79,42117,"1,452,468","1,452",964.64,1505.71,17.6,"1,850",1.27,13.63,7.296168009,10.62596281
Sacramento County,2014,7452,5.08334,40246,27.4536073,0.07,0.81,44150,"1,465,964","1,466",964.64,1519.7,18.1,"1,900",1.3,14.35,7.19330259,10.66761881
Sacramento County,2015,8264,5.57636,42018,28.3528198,0.06,0.81,46674,"1,481,969","1,482",964.64,1536.29,18.2,"1,906",1.29,14.85,7.044794219,10.76288006
Sacramento County,2016,7734,5.17113,39105,26.1465047,0.05,0.81,47723,"1,495,611","1,496",964.64,1550.43,17.9,"1,923",1.29,15.12,6.89087102,10.75171365
Sacramento County,2017,7412,4.89753,36588,24.1757879,0.05,0.81,49125,"1,513,415","1,513",964.64,1568.89,16.7,"1,955",1.29,15.04,6.732981142,10.95573091
San Benito County,2012,217,3.89063,1023,18.3415509,0.13,0.87,38071,"55,775",56,"1,388.71",40.16,12.7,44,0.79,11.66,7.638828493,9.486126886
San Benito County,2013,245,4.37516,792,14.1433623,0.11,0.88,39561,"55,998",56,"1,388.71",40.32,11.9,39,0.7,11.18,7.648227747,9.697752829
San Benito County,2014,196,3.48637,736,13.0916594,0.09,0.86,40796,"56,219",56,"1,388.71",40.48,12.1,42,0.75,10.84,7.595724933,9.64457179
San Benito County,2015,179,3.17084,725,12.8427691,0.08,0.89,44557,"56,452",56,"1,388.71",40.65,10.8,53,0.94,10.55,7.598547527,9.548174853
San Benito County,2016,155,2.73736,543,9.5895733,0.07,0.90,46779,"56,624",57,"1,388.71",40.77,10.8,54,0.95,10.55,7.559494238,9.862386522
San Benito County,2017,183,3.21736,556,9.7751367,0.06,0.88,49092,"56,879",57,"1,388.71",40.96,9.7,56,0.98,9.97,7.429564862,10.09186821
San Bernardino County,2012,9032,4.36194,63099,30.4732165,0.12,0.77,31321,"2,070,638","2,071","20,056.94",103.24,17.6,"3,186",1.54,12.75,8.607488037,10.34888735
San Bernardino County,2013,8434,4.04325,57598,27.6124383,0.10,0.79,31978,"2,085,944","2,086","20,056.94",104,18.7,"3,228",1.55,13.28,8.607336959,10.29895231
San Bernardino County,2014,8281,3.94204,54778,26.0762064,0.08,0.79,33586,"2,100,689","2,101","20,056.94",104.74,19.2,"3,310",1.58,13.56,8.504489639,10.39437622
San Bernardino County,2015,9947,4.69049,59592,28.1005266,0.06,0.81,35399,"2,120,672","2,121","20,056.94",105.73,19.5,"3,247",1.53,13.85,8.406986976,10.44655186
San Bernardino County,2016,10469,4.90603,54937,25.7448079,0.06,0.83,36578,"2,133,906","2,134","20,056.94",106.39,19.1,"3,059",1.43,13.9,8.306782614,10.59487842
San Bernardino County,2017,10217,4.73977,52007,24.1265732,0.05,0.83,37477,"2,155,590","2,156","20,056.94",107.47,18.2,"3,509",1.63,13.62,8.167658234,10.72958015
