county,year,violent crime,violent crime rate per 1000 persons,property crime,property crime rate per 1000 persons,unemployment rate,high school graduate rate,per capita personal income,population,population per 1000,land area,population density,percent of population below poverty level,full-time law enforcement employees,full-time law enforcement employees rate,income inequality,% Males 15-24 years,% Males 25-39 years
Shasta County,2012,1298,7.30893,6280,35.3621524,0.14,0.87,35807,"177,591",178,"3,775.40",47.04,17.6,209,1.18,13.43,6.889342855,8.119582651
Shasta County,2013,1150,6.4451,5894,33.0325618,0.12,0.89,36274,"178,430",178,"3,775.40",47.26,17.5,220,1.23,12.93,6.792758167,8.269444725
Shasta County,2014,1275,7.12964,5705,31.9016278,0.10,0.87,38549,"178,831",179,"3,775.40",47.37,18,217,1.21,13.08,6.63142505,8.645413399
Shasta County,2015,1400,7.82105,5851,32.6864204,0.08,0.86,40955,"179,004",179,"3,775.40",47.41,18,210,1.17,13.6,6.578686949,8.689758134
Shasta County,2016,1333,7.49407,5561,31.2637035,0.07,0.89,42081,"177,874",178,"3,775.40",47.11,17.5,216,1.21,13.65,6.326850157,8.97529906
Shasta County,2017,1225,6.87631,5645,31.6871365,0.06,0.87,43379,"178,148",178,"3,775.40",47.19,18.1,184,1.03,14.49,6.412398907,9.133183172
Sierra County,2012,17,5.25827,55,17.0120631,0.15,0.97,35671,"3,233",3,953.21,3.39,16.8,16,4.95,13.87,5.053936137,5.250205501
Sierra County,2013,7,2.17729,77,23.9502333,0.13,0.95,36529,"3,215",3,953.21,3.37,19.4,16,4.98,21.49,5.218196354,5.266069715
Sierra County,2014,11,3.43321,29,9.051186,0.10,0.94,38705,"3,204",3,953.21,3.36,16.3,15,4.68,13.95,5.150877774,5.052765816
Sierra County,2015,3,0.93897,33,10.3286385,0.09,0.96,38116,"3,195",3,953.21,3.35,14.6,14,4.38,13.86,4.533432638,5.131247931
Sierra County,2016,14,4.38185,26,8.1377152,0.08,0.97,39889,"3,195",3,953.21,3.35,11.3,17,5.32,15.55,3.114534289,6.278505629
Sierra County,2017,5,1.56104,28,8.7418046,0.07,1.00,41561,"3,203",3,953.21,3.36,12.3,13,4.06,18.03,4.055459272,5.095320624
Siskiyou County,2012,104,2.31931,819,18.2645347,0.16,0.89,33853,"44,841",45,"6,277.89",7.14,19.6,101,2.25,12.63,5.979987912,7.47498489
Siskiyou County,2013,116,2.58784,773,17.244841,0.13,0.90,34779,"44,825",45,"6,277.89",7.14,21,93,2.07,13.08,5.941309575,7.588899625
Siskiyou County,2014,137,3.05742,724,16.1574684,0.11,0.92,37019,"44,809",45,"6,277.89",7.14,22.7,100,2.23,12.88,5.920559861,7.562395789
Siskiyou County,2015,135,3.01804,793,17.7281974,0.09,0.90,40316,"44,731",45,"6,277.89",7.13,23.1,99,2.21,13.66,5.767627292,7.45813874
Siskiyou County,2016,161,3.60034,876,19.5894271,0.09,0.92,41415,"44,718",45,"6,277.89",7.12,22,108,2.42,13.85,5.76785747,7.756773839
Siskiyou County,2017,176,3.94486,800,17.9311891,0.07,0.87,41970,"44,615",45,"6,277.89",7.11,20.7,98,2.2,13.46,5.570870664,7.408683666
Solano County,2012,1846,4.43608,13190,31.696597,0.11,0.78,39145,"416,133",416,821.77,506.39,11.9,409,0.98,11.48,7.542216852,10.13953656
Solano County,2013,2001,4.77256,13533,32.277376,0.09,0.82,40322,"419,272",419,821.77,510.21,13,418,1,12.02,7.48623154,10.18127489
Solano County,2014,2109,4.98145,13453,31.7759129,0.08,0.84,41678,"423,371",423,821.77,515.19,13.1,457,1.08,12.16,7.368021744,10.15592186
Solano County,2015,2063,4.82971,13012,30.4625095,0.06,0.84,44150,"427,148",427,821.77,519.79,13.4,481,1.13,12.42,7.31562831,10.40113141
Solano County,2016,2022,4.69243,11719,27.1961235,0.06,0.85,46042,"430,907",431,821.77,524.36,12.7,526,1.22,12.64,7.157094573,10.43742959
Solano County,2017,2112,4.83694,12004,27.4917552,0.05,0.82,47333,"436,640",437,821.77,531.34,11.5,534,1.22,12.34,6.985362579,10.54758714
Sonoma County,2012,1792,3.67248,8514,17.448366,0.09,0.79,46552,"487,954",488,"1,575.85",309.64,11.5,589,1.21,12.91,7.032631718,9.639131586
Sonoma County,2013,1782,3.6221,8218,16.7039311,0.07,0.82,47995,"491,980",492,"1,575.85",312.2,11.9,581,1.18,12.82,6.883009997,9.587049638
Sonoma County,2014,1821,3.67238,8583,17.3091815,0.06,0.82,50491,"495,864",496,"1,575.85",314.66,12.3,612,1.23,13.34,6.722803026,9.618024767
Sonoma County,2015,1898,3.79537,9943,19.8826995,0.05,0.83,54225,"500,083",500,"1,575.85",317.34,11.7,593,1.19,13.56,6.572192261,9.711149758
Sonoma County,2016,1868,3.7176,7794,15.5112195,0.04,0.84,56134,"502,475",502,"1,575.85",318.86,11.2,331,0.66,13.83,6.370228778,9.702348446
Sonoma County,2017,2025,4.01298,7586,15.0333027,0.03,0.82,58347,"504,613",505,"1,575.85",320.22,10.7,614,1.22,14.04,6.254803441,9.722064187
Stanislaus County,2012,2875,5.51109,22061,42.2887813,0.15,0.79,34007,"521,675",522,"1,494.83",348.99,19.2,518,0.99,12.98,8.013341487,10.04140939
Stanislaus County,2013,2716,5.16601,20538,39.0646398,0.13,0.83,34624,"525,744",526,"1,494.83",351.71,20.3,535,1.02,13.4,7.968944149,10.04779914
Stanislaus County,2014,2826,5.33358,18559,35.0268944,0.11,0.82,37125,"529,850",530,"1,494.83",354.46,20.3,564,1.06,13.67,7.865480859,10.04209191
Stanislaus County,2015,3093,5.78234,19782,36.9822679,0.10,0.85,39444,"534,905",535,"1,494.83",357.84,20.3,582,1.09,13.39,7.672451063,10.04843591
Stanislaus County,2016,3366,6.22174,17918,33.1197806,0.09,0.84,40213,"541,006",541,"1,494.83",361.92,18.2,611,1.13,13.4,7.559753355,10.17849145
Stanislaus County,2017,3300,6.00026,16789,30.5267866,0.08,0.84,41076,"549,976",550,"1,494.83",367.92,17.2,652,1.19,13.31,7.445620926,10.37757335
Sutter County,2012,318,3.34339,2832,29.7751096,0.17,0.79,35462,"95,113",95,602.41,157.89,17,129,1.36,12.19,7.711747609,10.00039529
Sutter County,2013,244,2.54907,2938,30.6933693,0.15,0.82,36978,"95,721",96,602.41,158.9,16.7,128,1.34,13.07,7.500535938,9.884812263
Sutter County,2014,316,3.29043,2364,24.6157691,0.13,0.82,37494,"96,036",96,602.41,159.42,16.8,132,1.37,13.24,7.507035038,9.843661838
Sutter County,2015,320,3.31985,2391,24.8054777,0.11,0.84,40192,"96,390",96,602.41,160.01,17.8,130,1.35,13.59,7.40705849,9.793224983
Sutter County,2016,360,3.72617,2691,27.8531062,0.10,0.87,41080,"96,614",97,602.41,160.38,17.5,133,1.38,14.3,7.217019894,9.655874893
Sutter County,2017,342,3.52872,2847,29.3750451,0.09,0.81,41519,"96,919",97,602.41,160.89,16.7,131,1.35,13.19,7.019030581,9.999686137
Tehama County,2012,354,5.56691,1507,23.6986948,0.14,0.84,31515,"63,590",64,"2,949.71",21.56,20.3,104,1.64,11.35,6.713259494,8.404006329
Tehama County,2013,351,5.51531,1676,26.3352241,0.12,0.80,31946,"63,641",64,"2,949.71",21.58,19.7,114,1.79,11.13,6.610988125,8.400428519
Tehama County,2014,321,5.03585,1589,24.9282274,0.10,0.84,34459,"63,743",64,"2,949.71",21.61,18.6,115,1.8,11.34,6.419831237,8.808605651
Tehama County,2015,329,5.15359,1663,26.0499068,0.08,0.89,36140,"63,839",64,"2,949.71",21.64,19.8,115,1.8,11.82,6.28264188,8.825615974
Tehama County,2016,360,5.62975,1937,30.2911832,0.07,0.88,36546,"63,946",64,"2,949.71",21.68,21.5,113,1.77,11.61,6.174713957,8.764110133
Tehama County,2017,274,4.28466,1823,28.5070916,0.06,0.84,38580,"63,949",64,"2,949.71",21.68,20.9,118,1.85,12.59,6.199503534,8.735592202
Trinity County,2012,21,1.52838,187,13.6098981,0.15,0.94,28653,"13,740",14,"3,179.25",4.32,17.7,40,2.91,11.35,4.610750018,9.887497261
Trinity County,2013,30,2.18484,139,10.1230792,0.12,0.95,29424,"13,731",14,"3,179.25",4.32,19.2,40,2.91,11.88,4.445050594,9.401026543
Trinity County,2014,34,2.47777,174,12.6803673,0.10,0.92,32294,"13,722",14,"3,179.25",4.32,18.7,40,2.92,12.72,4.381132075,9.118867925
Trinity County,2015,34,2.48611,244,17.8414741,0.08,0.89,34483,"13,676",14,"3,179.25",4.3,19.5,42,3.07,14.6,5.040335003,7.457638525
Trinity County,2016,66,4.83623,299,21.9095772,0.07,0.89,35269,"13,647",14,"3,179.25",4.29,20.1,44,3.22,14.73,4.917996965,7.018391502
Trinity County,2017,77,5.64765,254,18.6298958,0.06,0.72,36155,"13,634",14,"3,179.25",4.29,19.9,47,3.45,15.45,5.42302677,6.450870599
Tulare County,2012,2100,4.66046,15393,34.1611943,0.16,0.80,31638,"450,599",451,"4,824.22",93.4,24.8,688,1.53,12.83,8.373904277,10.37962985
Tulare County,2013,2097,4.60832,14290,31.4033495,0.15,0.82,32187,"455,047",455,"4,824.22",94.33,26.2,729,1.6,13.53,8.32597908,10.1817696
Tulare County,2014,1903,4.1472,11398,24.8396039,0.13,0.83,35283,"458,864",459,"4,824.22",95.12,27.4,749,1.63,13.76,8.26196055,10.1647151
Tulare County,2015,1815,3.92829,11783,25.5025074,0.12,0.85,36044,"462,033",462,"4,824.22",95.77,28.1,779,1.69,13.91,8.214791436,10.16830891
Tulare County,2016,1608,3.44746,11563,24.7903763,0.11,0.85,37597,"466,431",466,"4,824.22",96.69,28.3,747,1.6,14.44,8.152807453,10.20351362
Tulare County,2017,1645,3.49468,11722,24.902489,0.11,0.84,38531,"470,716",471,"4,824.22",97.57,27.1,747,1.59,14.7,8.004202184,10.36226404
Tuolumne County,2012,105,1.9094,1190,21.6399047,0.13,0.84,36959,"54,991",55,"2,220.88",24.76,13.1,119,2.16,12.24,6.243485192,9.548859705
Tuolumne County,2013,103,1.87484,1227,22.3342677,0.11,0.82,36627,"54,938",55,"2,220.88",24.74,14.5,125,2.28,12.64,6.313331384,9.575219266
Tuolumne County,2014,151,2.74137,1157,21.005047,0.09,0.84,38975,"55,082",55,"2,220.88",24.8,14.7,126,2.29,12.38,6.066697334,9.779934495
Tuolumne County,2015,227,4.15264,1280,23.4157764,0.07,0.89,41684,"54,664",55,"2,220.88",24.61,13.9,129,2.36,12.49,5.89625178,9.809693227
Tuolumne County,2016,187,3.40297,1272,23.1474742,0.06,0.88,43233,"54,952",55,"2,220.88",24.74,14.2,126,2.29,14.89,6.163322442,9.81953067
Tuolumne County,2017,206,3.76428,1124,20.5390589,0.05,0.83,43901,"54,725",55,"2,220.88",24.64,13.6,133,2.43,15.21,5.617914989,9.918551365
Ventura County,2012,1664,1.99404,15921,19.0787873,0.09,0.83,49879,"834,487",834,"1,843.13",452.76,10.3,"1,219",1.46,12.7,7.701077062,9.837504892
Ventura County,2013,1629,1.93687,16400,19.4995048,0.08,0.83,50189,"841,047",841,"1,843.13",456.31,11.1,"1,227",1.46,12.84,7.598555036,9.783760405
Ventura County,2014,1890,2.23079,16812,19.8434431,0.07,0.83,52566,"847,232",847,"1,843.13",459.67,11.1,"1,231",1.45,13,7.53421984,9.715178215
Ventura County,2015,2175,2.55454,17253,20.2636518,0.06,0.85,54849,"851,426",851,"1,843.13",461.95,11.1,"1,242",1.46,12.9,7.380314046,9.757864879
Ventura County,2016,2192,2.56686,16415,19.2221893,0.05,0.86,56371,"853,961",854,"1,843.13",463.32,10.6,"1,247",1.46,12.91,7.327800168,9.852920497
Ventura County,2017,2239,2.61593,15985,18.676029,0.05,0.86,57981,"855,910",856,"1,843.13",464.38,10.3,"1,247",1.46,13.15,7.182656039,9.922461237
Yolo County,2012,556,2.719,5956,29.1265459,0.11,0.86,43754,"204,487",204,"1,014.69",201.53,18.7,227,1.11,15.88,11.32090425,9.85699422
Yolo County,2013,642,3.09826,6434,31.0501754,0.09,0.88,44713,"207,213",207,"1,014.69",204.21,19.1,242,1.17,16.52,11.31729415,9.756288065
Yolo County,2014,757,3.62513,5507,26.371995,0.08,0.88,46959,"208,820",209,"1,014.69",205.8,20,254,1.22,18.04,11.21239016,9.749904488
Yolo County,2015,804,3.80902,6050,28.6623902,0.06,0.89,49176,"211,078",211,"1,014.69",208.02,19.9,262,1.24,18.62,11.29528458,9.591254582
Yolo County,2016,639,2.96639,5368,24.9195731,0.06,0.89,49989,"215,413",215,"1,014.69",212.29,19.3,263,1.22,19.93,11.26713184,9.657541577
Yolo County,2017,568,2.59749,5656,25.8651045,0.05,0.87,50520,"218,673",219,"1,014.69",215.51,19.4,257,1.18,20.87,11.26549234,9.874179817
Yuba County,2012,285,3.91043,2013,27.6199885,0.16,0.73,32664,"72,882",73,631.84,115.35,20.6,172,2.36,10.55,7.797630253,10.63313216
Yuba County,2013,272,3.7086,2143,29.2188757,0.13,0.75,33820,"73,343",73,631.84,116.08,21.6,165,2.25,10.47,7.788086643,10.68953069
Yuba County,2014,296,4.01923,2135,28.9900334,0.11,0.75,34780,"73,646",74,631.84,116.56,22.2,168,2.28,10.96,7.752720404,10.33696054
Yuba County,2015,313,4.22722,2018,27.2540652,0.09,0.77,37238,"74,044",74,631.84,117.19,21.9,168,2.27,11.24,7.720358947,10.66628539
Yuba County,2016,318,4.27833,1944,26.1543429,0.09,0.78,38234,"74,328",74,631.84,117.64,20.8,162,2.18,11.36,7.656766851,11.00343316
Yuba County,2017,325,4.35394,2072,27.7580548,0.07,0.80,38506,"74,645",75,631.84,118.14,18.5,156,2.09,12,7.594716253,11.34853438
