state,year,violent crime,violent_murder,violent_rape,violent_robbery,violent_assault,property crime,property_buglary,property_larceny,property_auto theft,unemployment,population,Land Area,population density,poverty rate,employee rate,per capita income,% Males 15-24 years,% Males 25-39 years
Alabama,2009,449.8,6.9,31.9,132.9,278.1,3772.4,1037.2,2499.9,235.3,10.1,4708708,135767,34.68227183,16.6,0.000362307,32769,7.240125025,9.170825032
Alaska,2009,633,3.1,73.3,93.8,462.7,2946,515,2189.2,241.8,7.7,698473,1723337,0.405302619,11.7,0.00087047,47258,7.806414731,10.70150894
Arizona,2009,408.3,5.4,32,122.8,248.1,3556.5,809.8,2352.8,394,9.9,6595778,295234,22.34084828,21.2,0.000322479,33524,7.337797351,10.08323173
Arkansas,2009,517.7,6.2,47.3,89.4,374.8,3773.7,1203.1,2359.3,211.2,7.8,2889450,137732,20.97878489,18.9,0.000345048,31472,7.027597516,9.516538303
California,2009,472,5.3,23.6,173.4,269.7,2731.5,622.6,1665.1,443.8,11.2,36961664,423967,87.18052113,15.3,0.00033275,41689,7.821757134,10.76114357
Colorado,2009,337.8,3.5,44.6,67.4,222.3,2666.2,530.4,1887.9,247.9,7.3,5024748,269601,18.63772019,12.3,0.000256132,40093,7.15068409,11.07852465
Connecticut,2009,298.7,3,18.5,113.4,163.7,2335.8,428.4,1694.9,212.5,7.9,3518288,14357,245.057324,8.4,0.000487169,59684,6.828646025,8.814280685
Delaware,2009,636.6,4.6,38.2,188.8,405,3349.6,783.2,2351,215.5,8.3,885122,6446,137.3133726,12.3,0.001698071,40856,7.381601838,9.227002297
district of Columbia,2009,1345.9,24,25,731.9,565,4745.4,616.4,3206.5,922.5,10,599657,177,3387.892655,17.9,0.000425477,60143,7.816458792,13.23147542
Florida,2009,612.5,5.5,29.7,166.7,410.6,3840.8,981.1,2588.6,271.1,10.4,18537969,170312,108.84711,14.6,0.000189827,36818,6.781734139,9.172417396
Georgia,2009,426.1,5.8,23.4,148.6,248.3,3666.6,1000.7,2328.7,337.2,9.9,9829211,153910,63.8633682,18.4,0.000282118,34274,7.477245347,10.13363514
Hawaii,2009,274.8,1.7,30.3,79.8,163,3661.2,708.6,2580.5,372.1,7.2,1295178,28313,45.74499347,12.5,0.00043416,41082,7.234498327,10.19863306
Idaho,2009,228.4,1.4,35.7,15.8,175.4,1988.7,424.2,1471.1,93.3,8.8,1545801,216443,7.141838729,13.7,0.000302756,31281,7.318995358,9.624980196
Illinois,2009,497.2,6,30.2,177.6,283.4,2736.9,603,1927.3,206.6,10.2,12910409,149995,86.07226241,13.2,0.000299758,41180,7.147983835,10.18342902
Indiana,2009,333.2,4.8,25.5,114.5,188.4,3116.2,761.5,2138.7,216.1,10.3,6423113,94326,68.09483069,16.1,0.000315579,34267,7.259390526,9.564737517
Iowa,2009,279.2,1.1,28.4,39.7,210,2308.7,539.4,1640,129.3,6.4,3007856,145746,20.63765729,10.7,0.000329471,37286,7.113008505,9.222383441
Kansas,2009,400.1,4.2,38.9,63.4,293.6,3207.8,690.7,2305.9,211.2,6.9,2818747,213100,13.22734397,13.7,0.000492063,39431,7.362792021,9.586454041
Kentucky,2009,258.7,4.1,35,84.1,135.4,2512.7,688.5,1683.3,140.9,10.3,4314113,104656,41.22184108,17,0.000518762,32397,6.988960131,9.725895567
Louisiana,2009,620,11.8,30.3,135.9,442,3794.6,1029.5,2504.3,260.8,6.8,4492076,135659,33.11299656,14.3,0.000386458,36930,7.404921373,9.824830319
Maine,2009,119.8,2,28.5,30.3,59,2403.5,510.4,1815.7,77.4,8.4,1318301,91633,14.38674932,11.4,0.000370173,37157,6.471065076,8.319940812
Maryland,2009,589.9,7.7,20.3,210.7,351.3,3200.7,649.7,2206.7,344.2,7,5699478,32131,177.3825278,9.6,0.000670412,48448,7.050673295,9.561872003
Massachusetts,2009,457.1,2.6,25.8,112.6,316,2304,525.7,1600.3,178,8.1,6593587,27336,241.2052605,10.8,0.00047986,50772,7.178400078,9.442727619
Michigan,2009,497,6.3,45.3,123.7,321.7,2837.8,760.5,1782.6,294.7,13.7,9969727,250487,39.80137492,14,0.000254671,34307,7.256850871,8.972998037
Minnesota,2009,243.9,1.4,34,68.7,139.8,2641,484,1995.3,161.8,7.8,5266214,225163,23.38845192,11.1,0.000163305,41079,6.881881374,10.00100746
Mississippi,2009,281.3,6.4,31.8,100.4,142.6,2953.3,987.9,1782.5,183,9.4,2951996,125438,23.53350659,23.1,2.13E-05,30157,7.484234309,9.319078849
Missouri,2009,491.8,6.4,26.8,124.5,334.1,3385.3,731.3,2362.1,291.9,9.3,5987580,180540,33.16483882,15.5,0.000485338,36385,7.097960059,9.382919804
Montana,2009,253.6,2.9,30.2,22.2,198.5,2464,347.3,1967.4,149.3,6.8,974989,380831,2.560161857,13.5,0.000309747,34689,7.02472082,9.167011566
Nebraska,2009,281.6,2.2,33.1,67.8,178.4,2761.5,484.3,2083.5,193.8,4.6,1796619,200330,8.968297309,9.9,0.000400753,39535,7.244508705,9.412933079
Nevada,2009,702.2,5.9,38.6,227.8,429.8,3055.6,832.1,1755.1,468.4,11.3,2643085,286380,9.229293247,13,0.000364347,36231,6.877838286,11.05548821
New Hampshire,2009,159.6,0.8,30.2,34.4,94.3,2161,372,1704.1,84.9,6.2,1324575,24214,54.70285785,7.8,0.000401638,45101,6.835203911,8.408776034
New Jersey,2009,311.5,3.7,12,133.7,162.2,2079.7,427.9,1473.7,178.1,9.1,8707739,22591,385.4516843,9.3,0.000687664,49854,6.696039433,9.5588389
New Mexico,2009,619,8.7,52.6,93.1,464.7,3735.8,1095.8,2317.8,322.2,7.5,2009671,314917,6.381589435,19.3,0.000563276,32911,7.276281963,9.636157194
New York,2009,384.7,4,13.2,144,223.5,1936,321.6,1502.5,111.9,8.3,19541453,141297,138.3005513,15.8,0.00031794,47027,7.230075667,9.881103411
North Carolina,2009,404.3,5.3,24.6,126.1,248.4,3668.1,1149.5,2305.2,213.5,10.6,9380884,139391,67.29906522,16.9,0.000317134,35933,7.151336642,9.89431508
North Dakota,2009,200.7,1.5,34.8,16.2,148.1,1932.8,363.9,1437.1,131.7,4.1,646844,183108,3.532581864,10.9,0.000282912,40212,8.384931797,9.582779197
Ohio,2009,332.1,4.5,34.8,154.1,138.7,3270.9,902.9,2169.8,198.3,10.3,11542645,116098,99.42156626,13.3,0.000292654,35755,6.894490899,9.127917528
Oklahoma/g,2009,501.1,6.2,41.5,90.7,362.7,3573.8,1030,2261.7,282.2,6.4,3687050,181037,20.36627872,12.9,0.000433138,35917,7.175470795,9.976853228
Oregon,2009,254.7,2.2,30.5,64.3,157.6,2967.1,506.5,2202.6,258,11.3,3825657,254799,15.01441136,13.4,0.000210944,35313,6.842928872,10.06604754
Pennsylvania,2009,380.5,5.2,29,138.9,207.4,2201.6,434.7,1625.5,141.4,8,12604767,119280,105.6737676,11.1,0.000500842,40530,7.097603031,8.884074543
Puerto rico,2009,264.5,22.5,1.6,153.6,86.7,1410,466.8,770.9,172.2,15.4,3967288,13791,287.67225,13.6,0.000443021,39139,7.510299348,9.339731241
Rhode Island,2009,252.6,2.9,27.3,74.6,147.7,2610.8,545.9,1837.7,227.2,11,1053209,4001,263.2364409,13,0.00038264,40610,7.638702055,8.743671535
South Carolina,2009,670.8,6.3,35.3,125.7,503.4,3888.6,992.8,2598.4,297.4,11.4,4561242,82933,54.99911977,13.7,0.000488244,32010,7.286602084,9.521160056
South Dakota,2009,185.6,2.6,54.8,13.7,114.6,1719.4,305.2,1314.2,100.1,4.9,812383,199729,4.067426363,14.1,0.000499764,39518,7.244605243,9.576772684
Tennessee,2009,667.7,7.3,31.7,153.2,475.5,3754.1,1010.9,2505.4,237.8,10.1,6296254,109153,57.68283052,16.5,0.00041612,34446,6.96307997,9.592494784
Texas,2009,490.9,5.4,33.4,153.5,298.7,4015.5,969.4,2737.2,308.9,7.6,24782302,695662,35.62405594,17.3,0.00033072,37269,7.59643633,10.7243807
Utah,2009,212.7,1.3,32.5,46.6,132.3,3275.4,544.4,2483,247.9,7.3,2784572,219882,12.66393793,9.7,0.000258927,31858,8.167857112,11.57530671
Vermont,2009,131.4,1.1,19.9,17.9,92.5,2401.4,555.2,1774.2,72.1,6.6,621760,24906,24.96426564,9.4,0.000860461,40479,7.44829385,8.183322849
Virginia,2009,226.8,4.4,19.2,79.4,123.9,2428.8,400.6,1883.4,144.9,6.7,7882590,110787,71.15085705,10.7,0.000396824,44087,7.259156193,10.05491229
Washington,2009,331,2.7,38.1,100.5,189.7,3666.9,792.2,2519.4,355.3,9.2,6664195,184661,36.08880597,11.7,0.000339126,41591,7.069257655,10.40475246
West Virginia,2009,296.5,4.6,23.8,50.4,217.7,2526.7,656.7,1719.4,150.6,8.3,1819777,62756,28.99765759,15.8,0.000678655,31718,6.611967634,8.994220679
Wisconsin,2009,257,2.5,19.6,85.8,149.1,2608.2,472.9,1977.4,157.8,8.6,5654774,169635,33.33494857,10.8,0.000205136,38182,7.062561826,9.433211949
Wyoming,2009,228.2,2.4,33.8,14.1,177.9,2637.3,409.7,2085.9,141.7,6.3,544270,253335,2.148420076,9.2,0.00067246,44564,7.343848905,9.858865653
Alabama,2010,377.8,5.7,28.2,99.6,244.2,3516.8,879.4,2415.6,221.8,10.4,4779736,135767,35.20543284,17.2,0.000198547,33963,7.27930528,9.220453355
Alaska,2010,638.8,4.4,75,83.6,475.8,2852.5,437.2,2187.3,228,7.9,710231,1723337,0.412125429,12.5,0.000829308,49654,7.876613094,10.79774113
Arizona,2010,408.1,6.4,33.9,108.5,259.3,3534,794.3,2403.2,336.5,10.4,6392017,295234,21.65068048,18.8,0.000306945,33848,7.312942517,10.04907747
Arkansas,2010,505.3,4.7,45,81.3,374.3,3558.9,1114.9,2253.8,190.1,8.2,2915918,137732,21.17095519,15.3,0.000334372,32367,7.052303699,9.549994592
California,2010,440.6,4.9,22.4,156,257.4,2635.8,614.3,1612.1,409.4,12.2,37253956,423967,87.86994271,16.3,0.000331133,43249,7.806208864,10.73975232
Colorado,2010,320.8,2.4,43.7,62.3,212.4,2684.2,520,1940.5,223.6,8.7,5029196,269601,18.65421864,12.3,0.00025511,40785,7.119198839,11.02974468
Connecticut,2010,281.4,3.6,16.3,99.4,162,2193.2,424.5,1581,187.7,9.1,3574097,14357,248.9445567,8.6,0.000482919,61762,6.854415272,8.847543117
Delaware,2010,620.9,5.3,34.7,203.7,377.1,3448.2,836.9,2396.5,214.8,8.4,897934,6446,139.3009618,12.2,0.001722844,40947,7.375717101,9.219646376
district of Columbia,2010,1330.2,21.9,31.1,718.8,558.4,4778.9,703.1,3238.9,836.9,10,601723,177,3399.564972,19.5,0.000414127,63317,7.846931689,13.28305906
Florida,2010,542.4,5.2,28.6,138.7,369.8,3558.4,899.5,2438.4,220.5,11.1,18801310,170312,110.3933369,16,0.000266471,38865,6.795743872,9.191365813
Georgia,2010,403.3,5.8,21.6,127.7,248.2,3640.5,998.4,2329.3,312.8,10.5,9687653,153910,62.9436229,18.8,0.000275196,34830,7.422313005,10.05918736
Hawaii,2010,262.7,1.8,26.8,77.5,156.7,3314.2,636.8,2302.4,374.9,6.9,1360301,28313,48.04510296,12.4,0.000422578,41606,7.224040111,10.18388988
Idaho,2010,221,1.3,33.5,13.7,172.6,1995.8,414.8,1496.7,84.3,9,1567582,216443,7.242470304,13.8,0.000292808,32106,7.316546883,9.621760285
Illinois,2010,435.2,5.5,23.6,156.3,249.7,2681,587.6,1868.9,224.4,10.4,12830632,149995,85.54039801,14.1,0.000289074,42294,7.155458117,10.19407732
Indiana,2010,314.5,4.5,27.2,95.9,186.9,3042.4,726.7,2113.4,202.3,10.4,6483802,94326,68.738227,16.3,0.000302754,35699,7.290124504,9.60523161
Iowa,2010,273.5,1.3,27.4,33.2,211.6,2242.5,546.8,1571.8,124,6,3046355,145746,20.90180863,10.3,0.000308894,38320,7.159371523,9.282495492
Kansas,2010,369.1,3.5,38.8,54.1,272.7,3119.9,680.1,2229.2,210.6,7.1,2853118,213100,13.38863444,14.5,0.000481228,39968,7.385116655,9.615521013
Kentucky,2010,242.6,4.3,31.8,86.4,120.1,2551.3,698.5,1709.7,143.1,10.2,4339367,104656,41.46314593,17.7,0.000536253,33414,7.042608506,9.800553095
Louisiana,2010,549,11.2,27.2,114.9,395.6,3647.5,1002.2,2427.1,218.2,7.5,4533372,135659,33.41740688,21.5,0.000386908,38243,7.498152425,9.948529035
Maine,2010,122,1.8,29.3,31.2,59.8,2479.3,554,1850.8,74.5,8.4,1328361,91633,14.49653509,12.6,0.0003621,38115,6.500782032,8.358148327
Maryland,2010,547.7,7.4,21.3,191.5,327.5,2997.3,632.9,2051.7,312.6,7.7,5773552,32131,179.6879026,10.9,0.000666141,49691,7.064335181,9.580399766
Massachusetts,2010,466.6,3.2,26.7,105,331.8,2350.5,576.8,1598.8,174.9,8.3,6547629,27336,239.5240342,10.9,0.000407018,52919,7.20354714,9.475806977
Michigan,2010,490.3,5.7,47.3,116.3,321,2713.6,747.4,1689.5,276.8,12.6,9883640,250487,39.45769641,15.7,0.000250414,35769,7.265108619,8.98320863
Minnesota,2010,236,1.8,33.9,63.9,136.4,2572.3,460.3,1950,161.9,7.4,5303925,225163,23.55593503,10.8,0.000155922,42734,6.897926537,10.0243249
Mississippi,2010,269.7,7,31.2,93.7,137.8,2985,1026,1778.4,180.6,10.1,2967297,125438,23.65548717,22.5,0.000393624,31284,7.523019081,9.367372146
Missouri,2010,455,7,23.9,102.4,321.7,3346.4,735.4,2343,268,9.6,5988927,180540,33.17229977,15,0.000455006,37118,7.139950379,9.438427556
Montana,2010,272.2,2.6,32.4,15.9,221.2,2543.8,369.3,2020.3,154.2,7.3,989415,380831,2.598042176,14.5,0.000306242,36398,7.103872952,9.270302291
Nebraska,2010,279.5,3,36.8,56.1,183.6,2673.2,455.9,2019.4,197.9,4.6,1826341,200330,9.116662507,10.2,0.000391493,41260,7.280335921,9.459484088
Nevada,2010,660.6,5.9,35.7,196.2,422.9,2774.7,823,1574.5,377.1,13.5,2700551,286380,9.429956701,16.6,0.000369554,37487,6.815771921,10.95572227
New Hampshire,2010,167,1,31.3,34.3,100.4,2186.3,413.3,1699.5,73.5,5.8,1316470,24214,54.36813414,6.5,0.00040563,47108,6.833559596,8.406753172
New Jersey,2010,307.7,4.2,11.2,134.4,157.9,2081.9,440.5,1464.5,176.9,9.5,8791894,22591,389.1768403,11.1,0.000655604,51131,6.716928171,9.588658332
New Mexico,2010,588.9,6.9,46.5,78.4,457.1,3435.4,1020.5,2160.1,254.8,8.1,2059179,314917,6.538799112,18.3,0.00031226,33714,7.314248872,9.686437695
New York,2010,392.1,4.5,14.3,146.9,226.4,1941.2,335.3,1500.4,105.4,8.6,19378102,141297,137.1444687,16,0.000310247,48818,7.261290999,9.923764365
North Carolina,2010,363.4,5,21.1,100.8,236.5,3447.3,1076.9,2178.4,192,10.9,9535483,139391,68.40816839,17.4,0.000310629,35860,7.111234132,9.838830785
North Dakota,2010,225,1.5,35.2,13.4,174.8,1768.5,292.3,1348.5,127.7,3.8,672591,183108,3.67319287,12.6,0.000278029,44284,8.554313646,9.776358453
Ohio,2010,315.2,4.1,32.1,142.8,136.2,3245.2,923.3,2138.8,183.1,10.3,11536504,116098,99.36867129,15.4,0.000258397,36862,6.930167676,9.175151571
Oklahoma/g,2010,479.5,5.2,38.7,89,346.7,3415.5,999,2144.8,271.6,6.8,3751351,181037,20.72146025,16.3,0.000400922,37271,7.204498655,10.01721388
Oregon,2010,252,2.4,31.7,62.4,155.6,3012.9,512.6,2267.7,232.6,10.6,3831074,254799,15.03567125,14.3,0.000225263,36036,6.837834599,10.05855379
Pennsylvania,2010,366.2,5.2,26.9,128.8,205.3,2173,434.3,1607.4,131.2,8.5,12702379,119280,106.492111,12.2,0.000350407,42268,7.161809077,8.964441294
Puerto rico,2010,384.5,4.5,30.9,102.6,246.5,2894,665.7,2009.1,219.3,16.4,,13791,128.8,14.3,0.000431202,40466,7.482309095,9.304922849
Rhode Island,2010,256.6,2.8,28.1,74.1,151.6,2556.6,581.5,1747.2,227.9,11.2,1052567,4001,263.075981,14,0.000355322,42805,7.674475869,8.784620177
South Carolina,2010,597.7,6.1,31.7,107.7,452.3,3900.4,997.9,2617.2,285.3,11.3,4625364,82933,55.77229812,16.9,0.000475422,32838,7.289312065,9.524701099
South Dakota,2010,268.5,2.8,47.9,18.9,198.9,1852.4,390.7,1364.1,97.6,5,814180,199729,4.076423554,13.6,0.000514628,41417,7.352546288,9.719461874
Tennessee,2010,613.3,5.6,33.7,131.8,442.2,3657.9,1012.2,2411.9,233.8,9.8,6346105,109153,58.13953808,16.7,0.000416634,35856,6.962347982,9.591486381
Texas,2010,450.3,5,30.3,130.6,284.4,3783,909.1,2603.3,270.5,8.1,25145561,695662,36.14623337,18.4,0.000326419,39029,7.591339058,10.71718455
Utah,2010,212.7,1.9,34.3,45.9,130.6,3179.6,543.3,2421,215.2,7.8,2763885,219882,12.56985565,10,0.00025399,32226,8.20644448,11.62999187
Vermont,2010,130.2,1.1,21.1,11.8,96.2,2282.3,537.9,1673.9,70.5,6.1,625741,24906,25.12410664,10.8,0.000858183,41765,7.48324877,8.221727267
Virginia,2010,213.6,4.6,19.1,70.7,119.1,2327.2,382.8,1812.5,131.8,7.1,8001024,110787,72.21988139,10.7,0.000409323,45519,7.270248985,10.07027731
Washington,2010,313.8,2.3,38.1,88.2,185.3,3706.6,820.3,2503.7,382.6,10,6724540,184661,36.41559398,11.6,0.00033296,42352,7.070892562,10.40715877
West Virginia,2010,314.6,3.3,19.1,44.7,247.5,2239.6,580.5,1531.7,127.4,8.6,1852994,62756,29.52696157,16.8,0.000641664,32764,6.698574359,9.112031297
Wisconsin,2010,248.7,2.7,20.9,79.2,145.9,2507.7,467.1,1897.5,143.1,8.7,5686986,169635,33.52483862,10.1,0.000203271,39185,7.101442968,9.485144104
Wyoming,2010,195.9,1.4,29.1,13.5,151.9,2461.6,381.3,1975.4,104.9,6.4,563626,253335,2.224824837,9.6,0.000638721,46638,7.424748964,9.967471211
Alabama,2011,420.1,6.3,28.5,102.2,283,3606.1,1064.3,2319.7,222,9.6,4802740,135767,35.37487018,15.4,0.000322524,35101,7.211248933,9.147154687
Alaska,2011,606.5,4,58.1,79.7,464.6,2632.8,391,2056,185.8,7.9,722718,1723337,0.419371255,11.7,0.000862024,52581,7.997860853,10.88741058
Arizona,2011,405.9,6.2,34.9,109.9,254.8,3554.5,847.3,2401.3,305.9,10.4,6482505,295234,21.95717634,17.2,0.000283378,35175,7.321113644,10.06030582
Arkansas,2011,480.9,5.5,41.3,82.6,351.5,3754.1,1173.3,2383,197.8,8.2,2937979,137732,21.33112857,18.7,1.16E-05,34253,6.997827418,9.658973056
California,2011,411.1,4.8,20.3,144,242,2583.8,610.4,1583.8,389.6,12.2,37691912,423967,88.9029382,16.9,0.000309907,45574,7.710824699,10.69566007
Colorado,2011,320.2,2.9,44.5,64.6,208.1,2606.3,503.6,1886.8,215.9,8.7,5116796,269601,18.97914325,13.2,0.00025172,43635,7.12979982,10.99595888
Connecticut,2011,272.8,3.6,19.2,102.7,147.3,2167.4,437.9,1542.1,187.4,9.1,3580709,14357,249.4050986,10.1,0.000435947,63229,6.866659508,8.814648021
Delaware,2011,559.5,4.5,31.9,169.5,353.5,3410.6,830.2,2411.8,168.7,8.4,907135,6446,140.7283587,13.7,0.001718598,43990,7.031821063,8.97163377
district of Columbia,2011,1202.1,17.5,28,662.3,494.3,4795.5,623,3451.5,721,10.2,617996,177,3491.502825,19.9,0.00040363,66735,7.56724639,13.52645292
Florida,2011,515.3,5.2,27.7,134.4,348,3522,892.9,2421.1,207.9,11.1,19057542,170312,111.8978228,14.9,0.000270129,40482,6.798566735,9.097362682
Georgia,2011,373.2,5.6,20.9,123.8,222.9,3626.5,974.6,2351.7,300.3,10.5,9815210,153910,63.77239945,18.4,0.00026031,36849,7.447292437,9.946055031
Hawaii,2011,287.2,1.2,31.6,75.8,178.6,3337.8,728,2305.6,304.3,6.9,1374810,28313,48.55755307,12.1,0.000411867,42976,7.012168954,10.31790575
Idaho,2011,200.9,2.3,27.4,11.6,159.6,2068.6,436.6,1547.9,84.1,9,1584985,216443,7.322874845,15.7,0.000287069,33627,7.272152733,9.779791607
Illinois,2011,429.3,5.6,28.8,157.4,237.5,2688.8,604.1,1861.1,223.5,10.4,12869257,149995,85.7979066,14.2,0.000275851,44279,7.157824456,10.19744854
Indiana,2011,331.8,4.8,27,107.1,193,3161.8,775.7,2158.8,227.3,10.4,6516922,94326,69.0893497,15.6,0.000271908,37822,7.380240242,9.594312315
Iowa,2011,255.6,1.5,27.2,26.9,199.9,2330.3,568.2,1633.6,128.5,6,3062309,145746,21.01127304,10.4,0.000302713,41078,7.209874836,9.333331124
Kansas,2011,353.9,3.8,37.8,50.8,261.5,3080.1,654.4,2193.2,232.5,7.1,2871238,213100,13.47366495,14.3,0.000445801,43057,7.484624681,9.467306716
Kentucky,2011,238.2,3.5,33.5,84.5,116.7,2708.8,745,1811.1,152.7,10.2,4369356,104656,41.74969424,16,0.000433473,34826,7.016034743,9.567320104
Louisiana,2011,555.3,11.2,27.7,114.5,401.9,3688.5,1012.5,2476.6,199.4,7.4,4574836,135659,33.7230556,21.1,0.00036351,39131,7.33179397,9.9712398
Maine,2011,123.2,2,29.6,27.8,63.8,2545.5,591.3,1873,81.2,7.7,1328188,91633,14.49464712,13.4,0.000358383,39737,6.372582797,8.235337768
Maryland,2011,494.1,6.8,20.5,177.5,289.3,2860.2,614,1970.5,275.7,7.7,5828289,32131,181.39146,9.3,0.000661772,51970,7.064696895,9.48411364
Massachusetts,2011,428.4,2.8,24.7,102.7,298.1,2258.7,554.6,1540.3,163.7,8.3,6587536,27336,240.983904,10.6,0.000436734,54942,7.161911707,9.436302587
Michigan,2011,445.3,6.2,44,105.2,289.9,2612.1,724.9,1629,258.2,12.6,9876187,250487,39.42794237,15,0.000233795,37829,7.364193793,8.886127176
Minnesota,2011,221.2,1.4,31.1,63.4,125.4,2549.4,481.3,1915.1,153.1,7.4,5344861,225163,23.7377411,10,0.000152109,45373,6.908495263,9.840878144
Mississippi,2011,269.8,8,29,83.7,149.1,3025.5,1037.7,1822.5,165.4,9.8,2978512,125438,23.74489389,17.4,2.55E-05,32532,7.333921569,9.276682249
Missouri,2011,447.4,6.1,24.3,104.3,312.7,3308.8,745.7,2308.3,254.8,9.6,6010688,180540,33.29283261,15.4,0.000427073,38536,7.057243098,9.605691994
Montana,2011,267.5,2.8,35.8,16.9,212,2319.7,339.6,1834,146.1,7.3,998199,380831,2.621107525,16.5,0.000324585,38584,7.117234339,9.322574557
Nebraska,2011,253.2,3.6,37.7,54.1,157.7,2752.9,472.9,2057.3,222.7,4.6,1842641,200330,9.198028253,10.2,0.000381518,45744,7.180558774,9.706134619
Nevada,2011,562.1,5.2,33.5,157.9,365.6,2560.5,742.3,1470,348.3,13.5,2723322,286380,9.509469935,15.5,0.000333784,38740,6.754562993,10.8375451
New Hampshire,2011,188,1.3,32.5,36,118.2,2283.9,436.1,1773.9,73.9,5.8,1318194,24214,54.43933262,7.6,0.000429375,49184,6.7664714,8.495131976
New Jersey,2011,308.4,4.3,11.4,138.4,154.3,2150.7,490.2,1463.1,197.4,9.5,8821155,22591,390.4720907,11.4,0.000594933,53237,6.627269468,9.453604976
New Mexico,2011,567.5,7.5,41.2,82.7,436.2,3531.5,1028.9,2242.9,259.7,8.1,2082224,314917,6.611977124,22.2,0.000404375,35069,7.367631148,9.806914434
New York,2011,398.1,4,14.1,145.9,234.1,1912.4,336,1477.2,99.2,8.6,19465197,141297,137.7608654,16,0.000290621,51167,7.272985986,9.988234088
North Carolina,2011,349.8,5.3,20.7,98.9,224.9,3526.8,1099.2,2251.2,176.4,10.9,9656401,139391,69.2756419,15.4,0.000300008,36839,7.087786412,9.515110526
North Dakota,2011,247,3.5,37.9,13.3,192.3,1936.7,355.7,1437.7,143.3,3.8,683932,183108,3.735128995,9.9,0.000276343,49110,8.348008866,10.15842043
Ohio,2011,307.4,4.4,31.5,139.1,132.4,3354.7,976.3,2195.9,182.5,10.3,11544951,116098,99.44142879,15.1,0.000258295,39287,6.938937861,9.040165523
Oklahoma/g,2011,454.8,5.5,37,86.6,325.7,3356.2,958.5,2106.8,290.9,6.8,3791508,181037,20.94327679,13.9,0.000377159,39777,7.330085127,10.00457565
Oregon,2011,247.6,2.1,31.4,57.4,156.6,3114.6,528.1,2352.8,233.7,10.6,3871859,254799,15.1957386,14.4,0.000214367,37596,6.723379545,10.13450593
Pennsylvania,2011,355,5,26.1,126.6,197.3,2222.3,454,1636.1,132.2,8.5,12742886,119280,106.8317069,12.6,0.000622386,44300,7.074076547,8.976759205
Puerto rico,2011,284.4,30.6,1.2,174.4,78.1,1395.2,447.6,789.7,157.9,16,3706690,13791,268.7760133,14.3,0.000420273,42629,7.497933952,9.073932808
Rhode Island,2011,247.5,1.3,28.9,71,146.3,2676.8,662.4,1796.8,217.5,11.2,1051302,4001,262.75981,13.4,0.000342433,44403,7.689033598,9.139794655
South Carolina,2011,571.9,6.8,34.5,92.2,438.4,3904.2,1002.8,2609.4,292,10.5,4679230,82933,56.42181038,19,0.00046311,34406,7.339168667,9.380526839
South Dakota,2011,254.1,2.5,60.2,20.3,171.1,1817.7,351.8,1351.1,114.8,5,824082,199729,4.126000731,14.5,0.000501164,44726,7.222973563,9.265331605
Tennessee,2011,608.2,5.8,31.6,126.2,444.5,3595.9,979.9,2396.8,219.2,9.1,6403353,109153,58.6640129,16.3,0.000408224,37751,6.965256999,9.546785817
Texas,2011,408.5,4.4,29,110.6,264.5,3472.3,838.3,2387.3,246.7,8.1,25674681,695662,36.90683263,17.4,0.000316538,42011,7.543060122,10.66946004
Utah,2011,195,1.9,30.3,38.4,124.4,2973.1,465.8,2287.8,219.5,7.8,2817222,219882,12.81242667,11,0.000244212,34232,8.252555035,11.3724234
Vermont,2011,135.2,1.3,19,13.6,101.4,2309,581.5,1647.7,79.7,6.1,626431,24906,25.15181081,11.6,0.001085515,44150,7.33529423,8.27066732
Virginia,2011,196.7,3.7,19,67.1,106.9,2249.6,377.9,1751.6,120.1,7.1,8096604,110787,73.082618,11.4,0.000405973,47638,7.223775709,10.0248316
Washington,2011,294.6,2.4,33.5,82.5,176.1,3574.6,827.7,2383.3,363.6,10,6830038,184661,36.98690032,12.5,0.00031991,44244,7.035635834,10.52850469
West Virginia,2011,315.9,4.3,20.9,49,241.6,2273.9,603.2,1549.2,121.5,7.8,1855364,62756,29.56472688,17.5,0.000646773,34594,6.703184065,8.921149381
Wisconsin,2011,236.9,2.4,20.4,78.2,135.9,2432.7,466.7,1821.9,144.1,8.7,5711767,169635,33.67092286,13.1,0.000200814,41262,7.048409783,9.530244213
Wyoming,2011,219.3,3.2,25.7,12.5,177.9,2266.4,327.9,1846.8,91.7,6.4,568158,253335,2.242714193,10.7,0.000633627,50726,7.335266598,10.49350638
Alabama,2012,449.9,7.1,26.9,104.1,311.8,3502.2,984.7,2312.8,204.8,8.2,4822023,135767,35.51690028,16.2,8.30E-07,35992,7.122213581,9.01178045
Alaska,2012,603.2,4.1,79.7,86.1,433.2,2739.4,403.3,2128,208.1,7.1,731449,1723337,0.424437588,10,0.000870874,53729,8.284097182,10.88915919
Arizona,2012,428.9,5.5,34.7,112.7,276,3539.2,807.8,2439.1,292.3,8.3,6553255,295234,22.19681676,19,0.000274825,36272,7.264486152,10.00110765
Arkansas,2012,469.1,5.9,42.3,78.7,342.3,3660.1,1081.3,2384.7,194.1,7.6,2949131,137732,21.41209741,20.1,1.22E-05,36533,7.02732076,9.484425921
