state,year,violent crime,violent_murder,violent_rape,violent_robbery,violent_assault,property crime,property_buglary,property_larceny,property_auto theft,unemployment,population,Land Area,population density,poverty rate,employee rate,per capita income,% Males 15-24 years,% Males 25-39 years
Oklahoma/g,2006,497.4,5.8,41.6,87.5,362.5,3604.2,960.5,2270.5,373.2,4,3579212,181037,19.77061043,15.2,0.000407632,34854,7.175470795,9.976853228
Oregon,2006,280.3,2.3,32.3,72.7,173,3672.1,645.2,2636.1,390.7,5.3,3700758,254799,14.52422498,11.8,0.000261028,34716,6.842928872,10.06604754
Pennsylvania,2006,439.4,5.9,27.3,168.6,237.6,2443.5,463.2,1742.9,237.4,4.6,12440621,119280,104.2976274,11.3,0.000553188,38109,7.097603031,8.884074543
Puerto rico,2006,227.3,18.8,3,133.5,72,1354.4,424.4,711.2,218.8,10.6,3927776,13791,284.8071931,10.5,0.000429865,37284,7.510299348,9.339731241
Rhode Island,2006,227.5,2.6,26.7,68.8,129.4,2586.9,507.2,1744.2,335.5,4.9,1067610,4001,266.8357911,11.2,0.000292242,39028,7.638702055,8.743671535
South Carolina,2006,765.5,8.3,40.8,136.5,579.9,4242.3,989.8,2873,379.6,6.9,4321249,82933,52.10530187,10.7,0.000550998,30984,7.286602084,9.521160056
South Dakota,2006,171.4,1.2,43,15.2,112,1619.6,338.9,1188.9,91.8,3.1,781919,199729,3.914899689,14.9,0.000488542,35299,7.244605243,9.576772684
Tennessee,2006,760.2,6.8,35.5,184.3,533.7,4128.3,1040.9,2713.2,374.1,5.3,6038803,109153,55.32420547,16.4,0.000437504,33065,6.96307997,9.592494784
Texas,2006,516.3,5.9,35.6,158.5,316.4,4081.5,917.3,2758.2,405.9,4.9,23507783,695662,33.79196075,9.3,0.000336569,35630,7.59643633,10.7243807
Utah,2006,224.4,1.8,34.1,48.8,139.7,3516.4,576.5,2614.5,325.4,3,2550063,219882,11.59741589,7.8,0.000262346,31327,8.167857112,11.57530671
Vermont,2006,136.6,1.9,24,17.6,93,2304.7,528.9,1681.8,93.9,3.7,623908,24906,25.05050992,8.6,0.00089276,37008,7.44829385,8.183322849
Virginia,2006,282.2,5.2,23.4,101.4,152.1,2478.2,417.6,1866.8,193.8,3.1,7642884,110787,68.98719164,8,0.000407961,42385,7.259156193,10.05491229
Washington,2006,345.9,3,42.9,100.1,199.8,4480,911.6,2850.7,717.6,5,6395798,184661,34.63534802,15.3,0.000329748,40027,7.069257655,10.40475246
West Virginia,2006,279.7,4.1,21.4,46.9,207.3,2621.5,634.1,1771.8,215.6,5.2,1818470,62756,28.9768309,10.1,0.000438821,28704,6.611967634,8.994220679
Wisconsin,2006,284,3,20.4,100.2,160.6,2817.8,485.8,2079.5,252.5,4.7,5556506,169635,32.75565774,10,0.000200666,36338,7.062561826,9.433211949
Wyoming,2006,239.6,1.7,27.2,14,196.7,2980.6,450.5,2379.4,150.7,3.2,515004,253335,2.032897152,10,0.00040388,44492,7.343848905,9.858865653
